a	a	a	-	-	-	c
d	a	c	f	a	-	d
b	a	b	-	c	-	c
d	c	d	a+f	c	-	e
d	b	c	a+f	b	-	b
d	a	a	a	d	-	c
-	a	c	-	a	-	-
c	a	b	f	a	-	c
c	a	c	-	a	-	-
